level_0,Opponent,index,Date,Loc,AB,R,H,HR,Opp_E,snhu_result,SNHU_R,IP,10 Game Avg,Running Opp Error,Batting Avg,index,Opponent,avg_era_by_team,Loc_encoded
0,Molloy,2339,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
1,Molloy,1858,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
2,Molloy,1436,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
3,Molloy,1069,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
4,Molloy,760,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
5,Molloy,497,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
6,Molloy,290,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
7,Molloy,138,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
8,Molloy,45,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
9,Molloy,0,2010-03-06,vs,27.0,1.0,2.0,0,1,L,2,8.0,2.0,1.0,0.074,0,Molloy,4.10538286580743,2
10,Molloy,2340,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,2.7,1.091,0.29,0,Molloy,4.10538286580743,2
11,Molloy,1859,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,3.4,1.167,0.29,0,Molloy,4.10538286580743,2
12,Molloy,1437,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,4.1,1.231,0.29,0,Molloy,4.10538286580743,2
13,Molloy,1070,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,4.8,1.286,0.29,0,Molloy,4.10538286580743,2
14,Molloy,761,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,5.5,1.333,0.29,0,Molloy,4.10538286580743,2
15,Molloy,498,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,6.2,1.375,0.29,0,Molloy,4.10538286580743,2
16,Molloy,291,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,6.9,1.412,0.29,0,Molloy,4.10538286580743,2
17,Molloy,139,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,7.6,1.444,0.29,0,Molloy,4.10538286580743,2
18,Molloy,46,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,8.3,1.474,0.29,0,Molloy,4.10538286580743,2
19,Molloy,1,2010-03-06,vs,31.0,5.0,9.0,0,2,W,2,7.0,9.0,1.5,0.29,0,Molloy,4.10538286580743,2
20,Dowling,2341,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,8.5,1.429,0.167,1,Dowling,2.576581734898368,0
21,Dowling,1860,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,8.0,1.364,0.167,1,Dowling,2.576581734898368,0
22,Dowling,1438,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,7.5,1.304,0.167,1,Dowling,2.576581734898368,0
23,Dowling,1071,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,7.0,1.25,0.167,1,Dowling,2.576581734898368,0
24,Dowling,762,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,6.5,1.2,0.167,1,Dowling,2.576581734898368,0
25,Dowling,499,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,6.0,1.154,0.167,1,Dowling,2.576581734898368,0
26,Dowling,292,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,5.5,1.111,0.167,1,Dowling,2.576581734898368,0
27,Dowling,140,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,5.0,1.071,0.167,1,Dowling,2.576581734898368,0
28,Dowling,47,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,4.5,1.034,0.167,1,Dowling,2.576581734898368,0
29,Dowling,2,2010-03-07,at,24.0,1.0,4.0,0,0,L,2,6.2,4.0,1.0,0.167,1,Dowling,2.576581734898368,0
30,Dowling,2342,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,4.3,1.032,0.212,1,Dowling,2.576581734898368,0
31,Dowling,1861,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,4.6,1.062,0.212,1,Dowling,2.576581734898368,0
32,Dowling,1439,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,4.9,1.091,0.212,1,Dowling,2.576581734898368,0
33,Dowling,1072,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,5.2,1.118,0.212,1,Dowling,2.576581734898368,0
34,Dowling,763,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,5.5,1.143,0.212,1,Dowling,2.576581734898368,0
35,Dowling,500,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,5.8,1.167,0.212,1,Dowling,2.576581734898368,0
36,Dowling,293,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,6.1,1.189,0.212,1,Dowling,2.576581734898368,0
37,Dowling,141,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,6.4,1.211,0.212,1,Dowling,2.576581734898368,0
38,Dowling,48,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,6.7,1.231,0.212,1,Dowling,2.576581734898368,0
39,Dowling,3,2010-03-07,at,33.0,3.0,7.0,0,2,W,2,9.0,7.0,1.25,0.212,1,Dowling,2.576581734898368,0
40,Merrimack,2343,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.9,1.268,0.261,2,Merrimack,3.0035206102391085,2
41,Merrimack,1862,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.8,1.286,0.261,2,Merrimack,3.0035206102391085,2
42,Merrimack,1440,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.7,1.302,0.261,2,Merrimack,3.0035206102391085,2
43,Merrimack,1073,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.6,1.318,0.261,2,Merrimack,3.0035206102391085,2
44,Merrimack,764,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.5,1.333,0.261,2,Merrimack,3.0035206102391085,2
45,Merrimack,501,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.4,1.348,0.261,2,Merrimack,3.0035206102391085,2
46,Merrimack,294,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.3,1.362,0.261,2,Merrimack,3.0035206102391085,2
47,Merrimack,142,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.2,1.375,0.261,2,Merrimack,3.0035206102391085,2
48,Merrimack,49,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.1,1.388,0.261,2,Merrimack,3.0035206102391085,2
49,Merrimack,4,2010-03-09,vs,23.0,3.0,6.0,1,2,W,1,7.0,6.0,1.4,0.261,2,Merrimack,3.0035206102391085,2
50,So. New Hampshire,2344,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,5.7,1.373,0.12,3,So. New Hampshire,4.831858407079646,2
51,So. New Hampshire,1863,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,5.4,1.346,0.12,3,So. New Hampshire,4.831858407079646,2
52,So. New Hampshire,1441,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,5.1,1.321,0.12,3,So. New Hampshire,4.831858407079646,2
53,So. New Hampshire,1074,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,4.8,1.296,0.12,3,So. New Hampshire,4.831858407079646,2
54,So. New Hampshire,765,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,4.5,1.273,0.12,3,So. New Hampshire,4.831858407079646,2
55,So. New Hampshire,502,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,4.2,1.25,0.12,3,So. New Hampshire,4.831858407079646,2
56,So. New Hampshire,295,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,3.9,1.228,0.12,3,So. New Hampshire,4.831858407079646,2
57,So. New Hampshire,143,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,3.6,1.207,0.12,3,So. New Hampshire,4.831858407079646,2
58,So. New Hampshire,50,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,3.3,1.186,0.12,3,So. New Hampshire,4.831858407079646,2
59,So. New Hampshire,5,2010-03-09,vs,25.0,1.0,3.0,0,0,L,3,6.0,3.0,1.167,0.12,3,So. New Hampshire,4.831858407079646,2
60,Stonehill,2345,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,3.4,1.164,0.226,4,Stonehill,3.5595172792100933,1
61,Stonehill,1864,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,3.8,1.161,0.226,4,Stonehill,3.5595172792100933,1
62,Stonehill,1442,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,4.2,1.159,0.226,4,Stonehill,3.5595172792100933,1
63,Stonehill,1075,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,4.6,1.156,0.226,4,Stonehill,3.5595172792100933,1
64,Stonehill,766,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,5.0,1.154,0.226,4,Stonehill,3.5595172792100933,1
65,Stonehill,503,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,5.4,1.152,0.226,4,Stonehill,3.5595172792100933,1
66,Stonehill,296,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,5.8,1.149,0.226,4,Stonehill,3.5595172792100933,1
67,Stonehill,144,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,6.2,1.147,0.226,4,Stonehill,3.5595172792100933,1
68,Stonehill,51,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,6.6,1.145,0.226,4,Stonehill,3.5595172792100933,1
69,Stonehill,6,2010-03-17,neutral,31.0,1.0,7.0,0,1,L,3,9.0,7.0,1.143,0.226,4,Stonehill,3.5595172792100933,1
70,Saint Michael's,2346,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,6.8,1.141,0.172,5,Saint Michael's,2.130794701986755,2
71,Saint Michael's,1865,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,6.6,1.139,0.172,5,Saint Michael's,2.130794701986755,2
72,Saint Michael's,1443,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,6.4,1.137,0.172,5,Saint Michael's,2.130794701986755,2
73,Saint Michael's,1076,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,6.2,1.135,0.172,5,Saint Michael's,2.130794701986755,2
74,Saint Michael's,767,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,6.0,1.133,0.172,5,Saint Michael's,2.130794701986755,2
75,Saint Michael's,504,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,5.8,1.132,0.172,5,Saint Michael's,2.130794701986755,2
76,Saint Michael's,297,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,5.6,1.13,0.172,5,Saint Michael's,2.130794701986755,2
77,Saint Michael's,145,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,5.4,1.128,0.172,5,Saint Michael's,2.130794701986755,2
78,Saint Michael's,52,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,5.2,1.127,0.172,5,Saint Michael's,2.130794701986755,2
79,Saint Michael's,7,2010-03-19,vs,29.0,3.0,5.0,0,1,W,0,9.0,5.0,1.125,0.172,5,Saint Michael's,2.130794701986755,2
80,Molloy,2347,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,5.3,1.136,0.276,0,Molloy,4.10538286580743,2
81,Molloy,1866,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,5.6,1.146,0.276,0,Molloy,4.10538286580743,2
82,Molloy,1444,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,5.9,1.157,0.276,0,Molloy,4.10538286580743,2
83,Molloy,1077,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,6.2,1.167,0.276,0,Molloy,4.10538286580743,2
84,Molloy,768,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,6.5,1.176,0.276,0,Molloy,4.10538286580743,2
85,Molloy,505,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,6.8,1.186,0.276,0,Molloy,4.10538286580743,2
86,Molloy,298,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,7.1,1.195,0.276,0,Molloy,4.10538286580743,2
87,Molloy,146,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,7.4,1.205,0.276,0,Molloy,4.10538286580743,2
88,Molloy,53,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,7.7,1.213,0.276,0,Molloy,4.10538286580743,2
89,Molloy,8,2010-03-20,vs,29.0,7.0,8.0,0,2,L,9,9.0,8.0,1.222,0.276,0,Molloy,4.10538286580743,2
90,Saint Michael's,2348,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,8.8,1.242,0.39,5,Saint Michael's,2.130794701986755,2
91,Saint Michael's,1867,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,9.6,1.261,0.39,5,Saint Michael's,2.130794701986755,2
92,Saint Michael's,1445,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,10.4,1.28,0.39,5,Saint Michael's,2.130794701986755,2
93,Saint Michael's,1078,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,11.2,1.298,0.39,5,Saint Michael's,2.130794701986755,2
94,Saint Michael's,769,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,12.0,1.316,0.39,5,Saint Michael's,2.130794701986755,2
95,Saint Michael's,506,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,12.8,1.333,0.39,5,Saint Michael's,2.130794701986755,2
96,Saint Michael's,299,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,13.6,1.351,0.39,5,Saint Michael's,2.130794701986755,2
97,Saint Michael's,147,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,14.4,1.367,0.39,5,Saint Michael's,2.130794701986755,2
98,Saint Michael's,54,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,15.2,1.384,0.39,5,Saint Michael's,2.130794701986755,2
99,Saint Michael's,9,2010-03-20,vs,41.0,14.0,16.0,0,3,W,3,9.0,16.0,1.4,0.39,5,Saint Michael's,2.130794701986755,2
100,Northwood University,2349,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,15.0,1.396,0.182,6,Northwood University,6.75,0
101,Northwood University,1868,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,14.0,1.392,0.182,6,Northwood University,6.75,0
102,Northwood University,1446,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,13.0,1.388,0.182,6,Northwood University,6.75,0
103,Northwood University,1079,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,12.0,1.385,0.182,6,Northwood University,6.75,0
104,Northwood University,770,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,11.0,1.381,0.182,6,Northwood University,6.75,0
105,Northwood University,507,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,10.0,1.377,0.182,6,Northwood University,6.75,0
106,Northwood University,300,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,9.0,1.374,0.182,6,Northwood University,6.75,0
107,Northwood University,148,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,8.0,1.37,0.182,6,Northwood University,6.75,0
108,Northwood University,55,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,7.0,1.367,0.182,6,Northwood University,6.75,0
109,Northwood University,10,2010-03-21,at,33.0,4.0,6.0,0,1,L,6,8.0,6.0,1.364,0.182,6,Northwood University,6.75,0
110,Nova Southeastern,2350,2010-03-22,at,33.0,4.0,5.0,0,2,L,5,8.0,5.9,1.369,0.152,7,Nova Southeastern,9.376271186440679,0
111,Nova Southeastern,1869,2010-03-22,at,33.0,4.0,5.0,0,2,L,5,8.0,5.8,1.375,0.152,7,Nova Southeastern,9.376271186440679,0
112,Nova Southeastern,1447,2010-03-22,at,33.0,4.0,5.0,0,2,L,5,8.0,5.7,1.381,0.152,7,Nova Southeastern,9.376271186440679,0
